North America and Oceania's share of wasted and lost food by type in 2015,,,
"Share of food loss and waste in North America and Oceania in 2015, by type",,,
,Loss during production and processing,Waste by retailers and consumers,
Cereals,8.8,25.9,in %
Roots and tubers,38.8,21.4,in %
Oilseeds and pulses,16.4,4.1,in %
Fruits and vegetables,24.7,27.5,in %
Meat,9.2,13.2,in %
Fish and seafood,17.7,32.1,in %
Dairy products,5.2,14.7,in %
